country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq
,,,,5.,"STORMY FLIGHT(FR), 4","60,0",Fabrice Veron,krk,,1,,
,2013,Výsledky ze dne 27.12.2013 - Deauville (Francie),"2333 PRIX DE VILLEPELEE
Rovina - - 1900 m, cena, 3letí
29.000 EUR (14500 - 5800 - 4350 - 2900 - 1450)
Zápisné: 0 + 0 EUR",10.,"IRAKLIN(IRE), 4 val","56,0",ž. Theo Bachelot,,,12,Luka Václav,
,,,,1.,"KATHINKA(GER), 3 kl","57,5",Stephane Pasquier,BOJ,,3,,
,,,,2.,"CAMARETZ(USA), 3 val","57,0",Cristian Demuro,kr.hlava,,6,,
,,,,3.,"LAQUIELLA(FR), 3 kl","54,0",Jordan Plateaux,2 1/2,,2,,
,,,,4.,"LIVING DESERT(GB), 3 val","53,0",Antoine Werle,2,,7,,
,,,,5.,"KING LOLLIPOP(FR), 3 hř","54,5",Matthias Lauron,2 1/2,,5,,
,,,"2334 PRIX DE CISAI
Rovina - - 1300 m, handicap, 3letí
20.000 EUR (10000 - 4000 - 3000 - 2000 - 1000)
Zápisné: 0 + 0 EUR",7.,"KOBI(GER), 3 kl","57,5",Theo Bachelot,,,1,Luka Václav,
,,,,1.,"MAJESTIC MOUNT(GB), 3 hř","62,0",Maxime Guyon,LEHCE,,1,,
,,,,2.,"CHEF OUI CHEF(FR), 3 hř","60,0",Jerome Cabre,2 1/2,,3,,
,,,,3.,"CONTESURMOI(FR), 3 val","51,0",Alexis Badel,1/2,,15,,
,,,,4.,"REINE MARIE(FR), 3 kl","58,0",Cristian Demuro,1 1/4,,6,,
,,,,5.,"RED FINE(IRE), 3 kl","56,0",Allan Bonnefoy,krk,,9,,
,,,"2335 PRIX DU MONT LION
Rovina - - 2400 m, cena, 4letí a starší
21.000 EUR (10500 - 4200 - 3150 - 2100 - 1050)
Zápisné: 0 + 0 EUR",13.,"IRAKLIN(IRE), 3 val","57,0",Theo Bachelot,,,8,Luka Václav,
,,,,1.,"LATERAN ACCORD(IRE), 4","56,0",Stefanie Hofer,LEHCE,,8,,
,,,,2.,"BAAN RIM PA(FR), 7","59,0",Pauline Prod`homme,2 1/2,,2,,
,,,,3.,"BISCAYA BAY(GB), 4","53,0",Amelie Foulon,1,,11,,
,,,,4.,"CHABAL`OZOR(FR), 4","59,0",Chrystelle Cardenne,kr.hlava,,4,,
,,,,5.,"KEEP COOL(GB), 6 hř","55,5",Jeanne Cotta,1,,6,,
,2012,Výsledky ze dne 29.12.2012 - Roma-Capannnelle (Itálie),"2367 Premio Xaco
Proutky - - 3400 m, , 4letí a starší
15.000 EUR (6375-2550-1275-765-510)
Zápisné: 0 + 0 EUR",9.,"DANGEROUS GLEAM(GER), 4 val","53,5",Pauline Dominois,,,9,Luka Václav,
,,,,1.,"BRANIT(ITY), 5 val","69,5",Davide Columbu,JISTĚ,,1,,
,,,,2.,"CROSS FADE(IRE), 4 val","67,5",Raffaele Romano,1/2,,3,,
,,,,3.,"CRACK CHICHI(FR), 4 val","70,0",Dominik Pastuszka,15,,2,,
,,,,4.,"TURF FINCH(GER), 4 val","66,0",Jaroslav Myška,1/2,,6,Myšková Štěpánka,
