country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq,results.pages.page1.raceDateTitle,results.pages.page1.tables.tableTitle,results.pages.page1.tables.tableRows.poř.,results.pages.page1.tables.tableRows.jméno koně,results.pages.page1.tables.tableRows.váha,results.pages.page1.tables.tableRows.jezdec,results.pages.page1.tables.tableRows.výrok,results.pages.page1.tables.tableRows.čas,results.pages.page1.tables.tableRows.st.č.,results.pages.page1.tables.tableRows.trenér,results.pages.page1.tables.tableRows.evq
,,,,1.,"CHRÁM, 4","64,5",František Jasinský,,,3,,0,,,,,,,,,,,
,,,,2.,"ELGOS, 3","65,0",Jan Havlíček,,,6,,0,,,,,,,,,,,
,,,,3.,"NARPEN, 4","67,5",Miroslav Umlášek,,,10,,0,,,,,,,,,,,
,,,,4.,"LAJKA, 3","62,5",P. Skládal,,,11,,0,,,,,,,,,,,
,,,,5.,"DUNDEE ., 3","64,5",Zdeněk Matysík,,,5,,0,,,,,,,,,,,
,,,,6.,"ORNITIN, 5","69,5",J. Zdobina,,,1,,0,,,,,,,,,,,
,,,,7.,"MOHAN ., 3","60,5",Milan Foukal,,,9,,0,,,,,,,,,,,
,,,,8.,"JUST MINT(GB), 4","67,0",Dušan Andrés,,,7,,0,,,,,,,,,,,
,,,,9.,"NORGE, 4","67,0",Zdeněk Bodlák,,,2,,0,,,,,,,,,,,
,,,,10.,"KARAMELKA, 3","62,5",Jaroslav Brečka,,,4,,0,,,,,,,,,,,
,,,"657 Cena Aronde
Steeplechase - 3800 m, , 5letí a starší
28000 Kčs (14000 - 6500 - 4200 - 1900 - 1400)
Zápisné: 0 + 0 Kčs",Z,"HELANKA, 6","71,5",Š. Dúc,,,8,,0,,,,,,,,,,,
,,,,1.,"FORTEL II, 6","66,0",Miroslav Bezděk,,,4,,0,,,,,,,,,,,
,,,,2.,"EPONA, 12","62,0",František Jasinský,,,1,,0,,,,,,,,,,,
,,,,3.,"RUFUS, 5","64,5",Pavel Průdek,,,5,,0,,,,,,,,,,,
,,,,4.,"PAVAL, 11","66,5",Jiří Dostál,,,6,,0,,,,,,,,,,,
,,,,5.,"MALLENTE, 6","65,0",M. Václavík,,,3,,0,,,,,,,,,,,
,,,,6.,"BABA JAGA, 11","65,5",am. Marta Müller,,,2,,0,,,,,,,,,,,
,,,"658 Mezinárodní utkání ČSFR-MR-Rakousko
Rovina IV.kat. - 1000 m, , 3letí a starší
28000 Kčs (14000 - 6400 - 4200 - 2000 - 1400)
Zápisné: 0 + 0 Kčs",7.,"MARFA, 5","67,5",Š. Kadvan,,,7,,0,,,,,,,,,,,
,,,,1.,"VOKÁLKA, 7","61,5",Marie Zobalová,,,2,,0,,,,,,,,,,,
,,,,2.,"SALISBURY, 3","62,5",I. Weiner,,,1,,0,,,,,,,,,,,
,,,,3.,"KIŽI, 6","61,5",U. Schmutzler,,,7,,0,,,,,,,,,,,
,,,,4.,"REJNA, 3","61,0",Alena Petrlíková,,,3,,0,,,,,,,,,,,
,,,,5.,"SORBIT (SU), 5","64,0",am. K. Bodó,,,8,,0,,,,,,,,,,,
,,,,6.,"PINOCHIO, 4","63,0",Ľudovít Šara,,,9,,0,,,,,,,,,,,
,,,,7.,"CITERA, 3","61,0",am. Z. Szentpéteri,,,5,,0,,,,,,,,,,,
,,,"659 Cena Slovenské pojišťovny š.p.Bratislava
Steeplechase - 4200 m, , 5letí a starší
40000 Kčs (20000 - 9200 - 6000 - 2800 - 2000)
Zápisné: 0 + 0 Kčs",8.,"LETARGIE, 4","61,5",am. E. Horpacsi,,,6,,0,,,,,,,,,,,
,,,,1.,"GENORA, 5","67,5",M. Václavík,,,1,,0,,,,,,,,,,,
,,,,2.,"POKRA, 6","67,0",Miroslav Bezděk,,,3,,0,,,,,,,,,,,
,,,,3.,"JIRKO, 5","67,0",Jaroslav Brečka,,,4,,0,,,,,,,,,,,
,,,,4.,"REASON, 7","67,0",J. Zdobina,,,6,,0,,,,,,,,,,,
,,,,5.,"JOUL, 5","67,0",Dušan Andrés,,,8,,0,,,,,,,,,,,
,,,,6.,"JIČÍN, 7","67,0",Radim Bodlák,,,5,,0,,,,,,,,,,,
,,,,7.,"SEVER, 6","67,0",Pavel Složil st.,,,2,,0,,,,,,,,,,,
,,,,8.,"HEIDEMARIE, 5","67,0",Aleš Vaňourek,,,7,,0,,,,,,,,,,,
,,,"660 Mezinárodní utkání ČSFR-MR-Rakousko
Rovina III.kat. - 1800 m, , 3letí a starší
34000 Kčs (17000 - 7800 - 5100 - 2400 - 1700)
Zápisné: 0 + 0 Kčs",9.,"SAMSON, 9","67,0",Jiří Dostál,,,9,,0,,,,,,,,,,,
,,,,1.,"VINCI, 4","64,0","J. Vaňourek, Ing.",,,8,,0,,,,,,,,,,,
,,,,2.,"ARAK, 3","62,0",am. Christian Bräuer,,,3,,0,,,,,,,,,,,
,,,,3.,"HERBONA, 3","60,5",Ľudovít Šara,,,12,,0,,,,,,,,,,,
,,,,4.,"ORADEA, 3","60,5",Alena Petrlíková,,,7,,0,,,,,,,,,,,
,,,,5.,"LENNY, 3","60,5",Tomáš Nehasil,,,1,,0,,,,,,,,,,,
,,,,6.,"MORGANA, 4","62,5",G. Martin,,,2,,0,,,,,,,,,,,
,,,,7.,"TRENČAN, 3","62,0",Marie Zobalová,,,11,,0,,,,,,,,,,,
,,,,8.,"VERA VARY, 3","62,0",Rastislav Juráček,,,5,,0,,,,,,,,,,,
,,,,9.,"CELINA, 4","62,5",am. Z. Szentpéteri,,,6,,0,,,,,,,,,,,
,,,,10.,"QUEENIE, 3","62,0",am. Claudia Supper,,,10,,0,,,,,,,,,,,
,,,,11.,"TASILKA, 4","62,5",am. K. Bodó,,,9,,0,,,,,,,,,,,
,,,"661 CENA TURFU
Rovina I.kat. - 2400 m, ,
70000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",12.,"SOUTHERLY, 3","60,5",am. E. Horpacsi,,,4,,0,,,,,,,,,,,
,,,,1.,"LATÉN, 6","62,5",Dušan Andrés,,,3,,0,,,,,,,,,,,
,,,,2.,"NIC TO (POL), 4","62,5",Jozef Bojko,,,6,,0,,,,,,,,,,,
,,,,3.,"DANNYJ(SU), 4","62,5",Pavel Průdek,,,4,,0,,,,,,,,,,,
,,,,4.,"RYTÍŘ, 4","61,0",František Vávra,,,5,,0,,,,,,,,,,,
,,,"662 Cena Delegace
Rovina II.kat. - 1800 m, ,
40000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",5.,"VÝSPA, 4","59,5",Miroslav Abík,,,1,,0,,,,,,,,,,,
,,,,1.,"MAHARADŽA, 7","62,0",Dušan Andrés,,,2,,0,,,,,,,,,,,
,,,,2.,"TESSIE, 3","58,5",Jozef Bojko,,,4,,0,,,,,,,,,,,
,,,,3.,"CHRISTY, 3","58,5",František Vávra,,,1,,0,,,,,,,,,,,
,,,,4.,"AMMAN, 5","62,0",J. Veverka,,,6,,0,,,,,,,,,,,
,,,,5.,"MOBY DICK, 4","62,0",Jan Havlíček,,,5,,0,,,,,,,,,,,
,,,"663 Cena Lindy
Rovina IV.kat. - 1800 m, , 3letí
18000 Kčs (9000 - 4100 - 2700 - 1300 - 900)
Zápisné: 0 + 0 Kčs",6.,"LA RICA, 3","58,5",Marie Zobalová,,,3,,0,,,,,,,,,,,
,,,,1.,"TALLIN, 3","57,5",J. Zdobina,,,3,,0,,,,,,,,,,,
,,,,2.,"ANEBO, 3","56,5",J. Veverka,,,2,,0,,,,,,,,,,,
,,,,3.,"MONTE, 3","56,5",Jiří Kricnar,,,4,,0,,,,,,,,,,,
,,,,4.,"PRIOR, 3","56,5",Pavel Průdek,,,7,,0,,,,,,,,,,,
,,,,5.,"SENDAI, 3","57,5",Jozef Bojko,,,5,,0,,,,,,,,,,,
,,,,6.,"BRAILA, 3","55,0",žk. Š. Vokalík,,,9,,0,,,,,,,,,,,
,,,,7.,"COLORKA, 3","52,5",Peter Huťťa,,,6,,0,,,,,,,,,,,
,,,,8.,"NEK, 3","54,0",L. Végh,,,1,,0,,,,,,,,,,,
,,,,9.,"HYCAR, 3","54,0",E. Hřebačková,,,8,,0,,,,,,,,,,,
,,,,10.,"L`ANTLER, 3","54,0",Rastislav Juráček,,,11,,0,Výsledky ze dne 20.10.1991 - Bratislava (Slovensko),"648 Cena Arcara
Rovina III.kat. - 1000 m, , 2letí
20000 Kčs (10000 - 4600 - 3000 - 1400 - 1000)
Zápisné: 0 + 0 Kčs",1.,"ORIOL, 2","55,0",Iveta Steuerová,,,11,,0
,,,,,,,,,,,,,,,2.,"SELESTAT(GB), 2","55,5",Jozef Bojko,,,3,,0
,,,,,,,,,,,,,,,3.,"TIMI, 2","57,0",Dušan Andrés,,,1,,0
,,,,,,,,,,,,,,,4.,"NIKKÓ, 2","56,5",J. Zdobina,,,2,,0
,,,,,,,,,,,,,,,5.,"LENES, 2","54,5",Miroslav Abík,,,9,,0
,,,,,,,,,,,,,,,6.,"ČUDESNÁ, 2","56,0",Milan Foukal,,,10,,0
,,,,,,,,,,,,,,,7.,"RENDA, 2","55,5",Jiří Palík,,,8,,0
,,,,,,,,,,,,,,,8.,"MAPA, 2","57,0",Jiří Kricnar,,,12,,0
,,,,,,,,,,,,,,,8.,"SIRIUS, 2","55,0",B. Chmelařová,,,5,,0
,,,,,,,,,,,,,,,10.,"KALKATA, 2","56,0",Pavel Průdek,,,6,,0
,,,,,,,,,,,,,,,11.,"VAYAGE, 2","55,0",K. Pavka,,,7,,0
,,,,,,,,,,,,,,"649 Cena Salona
Rovina IV.kat. - 1000 m, ,
18000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",12.,"MALLEVILE, 2","56,0",J. Veverka,,,13,,0
,,,,,,,,,,,,,,,1.,"TATAMI, 3","54,0",Marie Zobalová,,,1,,0
,,,,,,,,,,,,,,,2.,"SALISBURY, 3","58,5",J. Veverka,,,9,,0
,,,,,,,,,,,,,,,3.,"DECENIE, 3","57,0",K. Pavka,,,10,,0
,,,,,,,,,,,,,,,4.,"GABRINA, 3","55,0",Jiří Palík,,,7,,0
,,,,,,,,,,,,,,,5.,"REJNA, 3","58,0",Ľudovít Šara,,,8,,0
,,,,,,,,,,,,,,,6.,"REMINA, 3","59,0",Pavel Průdek,,,3,,0
,,,,,,,,,,,,,,,7.,"MASCARELL, 3","57,5",R. Poupalová,,,4,,0
,,,,,,,,,,,,,,,8.,"RECITAL, 3","56,5",Peter Huťťa,,,6,,0
,,,,,,,,,,,,,,"650 Cena Caramela
Steeplechase - 3600 m, , 4letí a starší
30000 Kčs (15000 - 6900 - 4500 - 2100 - 1500)
Zápisné: 0 + 0 Kčs",9.,"LINIA, 3","57,5",Jiří Kricnar,,,2,,0
,,,,,,,,,,,,,,,1.,"ZBOJNÍK, 8","64,0",R. Held,,,4,,0
,,,,,,,,,,,,,,,2.,"DOBRA WOLA(POL), 6","68,0",Jaroslav Brečka,,,5,,0
,,,,,,,,,,,,,,,3.,"DEXTRIN, 6","68,0",Dušan Andrés,,,9,,0
,,,,,,,,,,,,,,,4.,"KORINTA, 5","66,0",Zdeněk Bodlák,,,10,,0
,,,,,,,,,,,,,,,5.,"MUSKET, 6","65,0",M. Štrop,,,6,,0
,,,,,,,,,,,,,,,6.,"VĚRNÁ, 4","65,5",S. Peňas,,,2,,0
,,,,,,,,,,,,,,,7.,"MAC DONALD, 8","64,0",Pavel Průdek,,,7,,0
,,,,,,,,,,,,,,"651 Cena Fimy Europlakat Interwerb
Rovina I.kat. - 1600 m, , 2letí
50000 Kčs (25000 - 11500 - 7500 - 3500 - 2500)
Zápisné: 0 + 0 Kčs",ZN,"TANIKA, 5","66,0",am. Marta Müller,,,8,,0
,,,,,,,,,,,,,,,1.,"TALIS, 2","56,0",Iveta Steuerová,,,10,,0
,,,,,,,,,,,,,,,2.,"RECENZIA, 2","55,0",Vladimír Černý,,,3,,0
,,,,,,,,,,,,,,,3.,"BRIK, 2","56,0",Pavel Průdek,,,2,,0
,,,,,,,,,,,,,,,4.,"VIZÁŽ, 2","55,0",J. Veverka,,,4,,0
,,,,,,,,,,,,,,,5.,"DORONICA, 2","55,0",K. Pavka,,,5,,0
,,,,,,,,,,,,,,,6.,"KANSAS, 2","58,0",T. Bednár,,,6,,0
,,,,,,,,,,,,,,,7.,"VODNÍK, 2","56,0",Jozef Bojko,,,7,,0
,,,,,,,,,,,,,,,8.,"GRADUAL, 2","56,0",B. Chmelařová,,,11,,0
,,,,,,,,,,,,,,,9.,"VALÁN, 2","56,0",Miroslav Abík,,,12,,0
,,,,,,,,,,,,,,,10.,"FREDERICIA, 2","55,0",Milan Foukal,,,1,,0
,,,,,,,,,,,,,,"652 Cena Harappy
Rovina III.kat. - 1700 m, ,
30000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",11.,"PENTAX, 2","56,0",Jiří Palík,,,8,,0
,,,,,,,,,,,,,,,1.,"NIVELAS, 7","59,5",J. Veverka,,,6,,0
,,,,,,,,,,,,,,,2.,"MAHARADŽA, 7","59,5",Dušan Andrés,,,8,,0
,,,,,,,,,,,,,,,3.,"VALVÉR, 3","57,0",Marie Zobalová,,,1,,0
,,,,,,,,,,,,,,,4.,"PRINCER, 6","59,5",Vladimír Černý,,,3,,0
,,,,,,,,,,,,,,,5.,"SOUTHERLY, 3","54,0",K. Pavka,,,4,,0
,,,,,,,,,,,,,,,6.,"ZILORD (BRZ), 7","60,5",Jozef Bojko,,,7,,0
,,,,,,,,,,,,,,"653 Cena Patroly
Rovina V.kat. - 1700 m, ,
14000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",7.,"MILUŠKA, 4","57,5",Pavel Průdek,,,5,,0
,,,,,,,,,,,,,,,1.,"PERUGIA, 3","57,5",Petr Florian,,,2,,0
,,,,,,,,,,,,,,,2.,"ANEBO, 3","56,5",J. Veverka,,,1,,0
,,,,,,,,,,,,,,,3.,"SENDAI, 3","57,5",Jozef Bojko,,,3,,0
,,,,,,,,,,,,,,,4.,"MONTE, 3","57,5",Jiří Kricnar,,,10,,0
,,,,,,,,,,,,,,,5.,"ČEPELKA, 3","57,0",Pavel Průdek,,,8,,0
,,,,,,,,,,,,,,,6.,"FARLET, 3","58,0",R. Held,,,5,,0
,,,,,,,,,,,,,,,7.,"NEK, 3","56,5",L. Végh,,,4,,0
,,,,,,,,,,,,,,,8.,"COLORKA, 3","52,5",Peter Huťťa,,,11,,0
,,,,,,,,,,,,,,,9.,"L`ANTLER, 3","55,5",Marie Zobalová,,,12,,0
,,,,,,,,,,,,,,,10.,"VENERIA, 3","57,0",Jiří Palík,,,9,,0
,1990,Výsledky ze dne 28.10.1990 - Topolčianky (Slovensko),"590 Cena Hráze
Rovina IV.kat. - 1000 m, ,
14000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",1.,"CANBERRA, 3","57,0",Ľudovít Šara,,,1,,0,,,11.,"SIXES, 3","57,0",Miroslav Abík,,,7,,0
,,,,2.,"MATRICE, 3","52,5",Marie Zobalová,,,8,,0,,,,,,,,,,,
,,,,3.,"GOBI, 3","54,0",Miroslav Abík,,,5,,0,,,,,,,,,,,
,,,,4.,"FLÁM, 3","61,0",Jan Demele,,,7,,0,,,,,,,,,,,
,,,,5.,"MAURESKA, 3","56,0",Jozef Bojko,,,6,,0,,,,,,,,,,,
,,,,6.,"ARION, 3","56,5",V. Čumr,,,10,,0,,,,,,,,,,,
,,,"591 Cena Lenta
Proutky - 2600 m, ,
24000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",7.,"TILKA, 3","54,5",V. Hamplová,,,9,,0,,,,,,,,,,,
,,,,1.,"SALAMANDR, 3","62,0",František Vávra,,,6,,0,,,,,,,,,,,
,,,,2.,"VERY, 7","72,0",Jan Havlíček,,,3,,0,,,,,,,,,,,
,,,,3.,"SPEKTRA, 4","63,0",Aleš Vaňourek,,,1,,0,,,,,,,,,,,
,,,,SN,"LEGÁTA, 3","64,0",Jaroslav Brečka,,,4,,0,,,,,,,,,,,
,,,"592 Cena Turca
Rovina III.kat. - 1700 m, ,
18000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",5.,"RÉCA, 3","60,0",J. Veverka,,,7,,0,,,,,,,,,,,
,,,,1.,"MADONA, 2","56,0",Dušan Andrés,,,7,,0,,,,,,,,,,,
,,,,2.,"MINNIE, 2","57,0",Pavel Tumma,,,8,,0,,,,,,,,,,,
,,,,3.,"SMENA, 2","57,0",J. Zdobina,,,2,,0,,,,,,,,,,,
,,,,4.,"LANEC, 2","58,0",Jozef Piruch,,,1,,0,,,,,,,,,,,
,,,,5.,"AMULET, 2","57,0",René Štěpánek,,,9,,0,,,,,,,,,,,
,,,,6.,"VERNER, 2","58,0",Jan Demele,,,4,,0,,,,,,,,,,,
,,,,7.,"ZAGRIA, 2","57,0",Jozef Franko,,,5,,0,,,,,,,,,,,
,,,,8.,"FELVER, 2","56,0",Jozef Bojko,,,3,,0,,,,,,,,,,,
,,,"593 Cena Turca
Rovina III.kat. - 1700 m, ,
18000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",9.,"LIMON, 2","55,5",Miroslav Abík,,,6,,0,,,,,,,,,,,
,,,,1.,"DAMAN, 2","58,0",J. Zdobina,,,9,,0,,,,,,,,,,,
,,,,2.,"FORT LAMAIRE, 2","57,0",René Štěpánek,,,4,,0,,,,,,,,,,,
,,,,3.,"JAMIE(AUT), 2","57,0",Jan Havlíček,,,7,,0,,,,,,,,,,,
,,,,4.,"SALVIETA, 2","57,0",Jan Demele,,,1,,0,,,,,,,,,,,
,,,,5.,"MINOS, 2","58,0",Jozef Piruch,,,5,,0,,,,,,,,,,,
,,,,6.,"BRANČ, 2","57,0",J. Minárech,,,8,,0,,,,,,,,,,,
,,,,7.,"FRASCATI, 2","56,0",Dušan Andrés,,,2,,0,,,,,,,,,,,
,,,,8.,"BAD, 2","55,5",Miroslav Abík,,,3,,0,,,,,,,,,,,
,,,"594 Cena Zuava
Steeplechase - 3800 m, ,
28000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",9.,"VLADIVOSTOK, 2","56,0",Jozef Bojko,,,6,,0,,,,,,,,,,,
,,,,1.,"ADVENT, 12","64,5",Zdeněk Seménka,,,4,,0,,,,,,,,,,,
,,,,2.,"PAUZA, 5","69,0",Vladimír Vinklárek,,,2,,0,,,,,,,,,,,
,,,,3.,"UTAH, 9","68,0",Josef Váňa st.,,,1,,0,,,,,,,,,,,
,,,,4.,"LIVIUS, 6","65,0",Zdeněk Bodlák,,,9,,0,,,,,,,,,,,
,,,"595 Cena Javoria
Rovina III.kat. - 1600 m, ,
26000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",5.,"METRONOM, 14","67,0",Jaromír Šafář st.,,,10,,0,,,,,,,,,,,
,,,,1.,"AMMAN, 4","57,5",Ľudovít Šara,,,2,,0,,,,,,,,,,,
,,,,2.,"MARYŠA, 4","55,5",J. Minárech,,,3,,0,,,,,,,,,,,
,,,,3.,"MASKOT, 3","55,0",J. Veverka,,,8,,0,,,,,,,,,,,
,,,,4.,"NAUTILA, 4","57,0",Pavel Tumma,,,6,,0,,,,,,,,,,,
,,,,5.,"KENTAUR, 3","58,0",Jan Demele,,,10,,0,,,,,,,,,,,
,,,,6.,"LETARGIE, 3","57,0",Jozef Bojko,,,4,,0,,,,,,,,,,,
,,,,7.,"LIANE, 4",,E. Šnajdárková,,,1,,0,,,,,,,,,,,
,,,,8.,"LESTER(HUN), 4","58,0",Š. Sluka,,,9,,0,,,,,,,,,,,
,,,"596 Cena Javoria
Rovina III.kat. - 1600 m, ,
26000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",9.,"ČASTER, 3","58,0",J. Černý,,,7,,0,,,,,,,,,,,
,,,,1.,"VASCO, 4","57,0",M. Hála,,,2,,0,,,,,,,,,,,
,,,,2.,"CHRISTIANNE, 3","56,0",Dušan Andrés,,,5,,0,,,,,,,,,,,
,,,,3.,"VANELUS, 4","61,5",,,,8,,0,,,,,,,,,,,
,,,,4.,"KIŽI, 5","55,5",B. Chmelařová,,,3,,0,,,,,,,,,,,
,,,,5.,"BOREC, 4","57,0",Ľudovít Šara,,,9,,0,,,,,,,,,,,
,,,,6.,"DONOR, 4","58,5",René Štěpánek,,,10,,0,,,,,,,,,,,
,,,,7.,"JENISEJ, 4","57,5",František Plšek,,,4,,0,,,,,,,,,,,
,,,"597 Cena FY Tatran Bednár a syn
Steeplechase - 4200 m, ,
45000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",8.,"ROSINA, 4","53,0",Peter Huťťa,,,1,,0,,,,,,,,,,,
,,,,1.,"VERTIKÁL, 5","67,0",Jan Havlíček,,,13,,0,,,,,,,,,,,
,,,,2.,"DOBRA WOLA(POL), 5","68,0",Josef Váňa st.,,,9,,0,,,,,,,,,,,
,,,,3.,"DEXTRIN, 5","67,0",Dušan Andrés,,,2,,0,,,,,,,,,,,
,,,,4.,"BELLIS, 8","67,0",Zdeněk Seménka,,,7,,0,,,,,,,,,,,
,,,,5.,"VADIR, 7","67,0",P. Vovčenko,,,11,,0,,,,,,,,,,,
,,,,6.,"ZBOJNÍK, 7","67,0",R. Held,,,8,,0,,,,,,,,,,,
,,,,7.,"ZORNIČKA, 6","67,0",,,,3,,0,,,,,,,,,,,
,,,,8.,"CATARACT, 5","68,0",Jaroslav Brečka,,,15,,0,,,,,,,,,,,
,,,,9.,"GUSTAVO, 6","67,0",Vladimír Filip,,,4,,0,,,,,,,,,,,
,,,,10.,"BONITO, 5","67,0",Zdeněk Bodlák,,,6,,0,,,,,,,,,,,
,,,,11.,"PIRANA, 6","67,0",Jaromír Šafář st.,,,10,,0,,,,,,,,,,,
,,,,12.,"LOBSTER, 8","67,0",R. Chmelař,,,1,,0,,,,,,,,,,,
,,,,Z,"INAGA, 6","68,5",M. Páral,,,5,,0,,,,,,,,,,,
,,,"598 Cena Javoria
Rovina III.kat. - 1600 m, ,
26000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",14.,"SOVEREIGN(AUT), 6","67,0",Pavel Reiter,,,14,,0,,,,,,,,,,,
,,,,1.,"SKELET, 3","58,0",Jan Demele,,,7,,0,,,,,,,,,,,
,,,,2.,"LUSACA, 3","52,5",Marie Zobalová,,,8,,0,,,,,,,,,,,
,,,,3.,"DEMPER, 5","57,0",Dušan Andrés,,,10,,0,,,,,,,,,,,
,,,,4.,"JUST MINT(GB), 3","55,5",Jozef Bojko,,,5,,0,,,,,,,,,,,
,,,,5.,"GIRJA, 4","55,0",,,,9,,0,,,,,,,,,,,
,,,,6.,"EXODUS, 3","57,0",Pavel Tumma,,,2,,0,,,,,,,,,,,
,,,,7.,"VERAMON, 3","58,0",J. Zdobina,,,6,,0,,,,,,,,,,,
,,,,8.,"LUDVIKA, 4","58,5",P. Zombory,,,1,,0,,,,,,,,,,,
,,,,9.,"ČUDLÍK, 4","58,0",M. Skočka,,,3,,0,Výsledky ze dne 21.10.1990 - Topolčianky (Slovensko),"581 Cena Dakoty
Rovina III.kat. - 1000 m, ,
18000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",1.,"ROSARIO, 2","57,0",Dušan Andrés,,,9,,0
,,,,,,,,,,,,,,,2.,"RECITAL, 2","58,0",Š. Sluka,,,4,,0
,,,,,,,,,,,,,,,3.,"JODID, 2","56,0",Milan Foukal,,,1,,0
,,,,,,,,,,,,,,,4.,"MARY LONG, 2","57,0",Zdeněk Bodlák,,,6,,0
,,,,,,,,,,,,,,,5.,"IZRAEL, 2","56,0",Jan Havlíček,,,2,,0
,,,,,,,,,,,,,,,6.,"SALISBURY, 2","58,0",Petr Florian,,,8,,0
,,,,,,,,,,,,,,,7.,"PORADA, 2","55,0",,,,7,,0
,,,,,,,,,,,,,,"582 Cena Dakoty
Rovina III.kat. - 1000 m, ,
18000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",DD,"KANDORA, 2","57,0",J. Černý,,,3,,0
,,,,,,,,,,,,,,,1.,"ERNYK, 2",,Zdeněk Bodlák,,,7,,0
,,,,,,,,,,,,,,,DD,"PAMELLA, 2","55,0",Jan Havlíček,,,5,,0
,,,,,,,,,,,,,,,2.,"VLADIVOSTOK, 2",,J. Černý,,,3,,0
,,,,,,,,,,,,,,,3.,"SIROTEK, 2","56,0",P. Beneda,,,6,,0
,,,,,,,,,,,,,,,4.,"KARAMELKA, 2","57,0",J. Šaradín,,,2,,0
,,,,,,,,,,,,,,,6.,"ANNON, 2","56,0",Jan Demele,,,4,,0
,,,,,,,,,,,,,,"583 Cena Capitola
Steeplechase - 3600 m, ,
30000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",7.,"BRAILA, 2","55,0",Jozef Franko,,,8,,0
,,,,,,,,,,,,,,,1.,"HVIEZDINA, 4","69,0","Ján Cagáň, Ing.",,,9,,0
,,,,,,,,,,,,,,,2.,"RING, 5","67,0",R. Chmelař,,,6,,0
,,,,,,,,,,,,,,,3.,"RETENCE, 4","61,5",Pavel Peprna,,,8,,0
,,,,,,,,,,,,,,,4.,"SIRÉNA, 5","68,0",Jozef Ralbovský,,,1,,0
,,,,,,,,,,,,,,,5.,"GORO, 5","68,5",žk. Radim Bodlák,,,5,,0
,,,,,,,,,,,,,,,6.,"ALBA LONGA, 4","65,0",R. Knápek,,,10,,0
,,,,,,,,,,,,,,,7.,"RETINA ., 5","66,0",Zdeněk Bodlák,,,2,,0
,,,,,,,,,,,,,,"584 Cena Štátneho závodiska
Rovina I.kat. - 1600 m, ,
50000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",8.,"KATUNA, 4","62,5",Petr Florian,,,7,,0
,,,,,,,,,,,,,,,1.,"LAUGO, 2","58,0",Jozef Piruch,,,1,,0
,,,,,,,,,,,,,,,2.,"ARTABAN ., 2","58,0",Zdeněk Bodlák,,,6,,0
,,,,,,,,,,,,,,,3.,"FEUER, 2","58,0",Milan Foukal,,,8,,0
,,,,,,,,,,,,,,,4.,"SARTORI, 2","58,0",Jozef Bojko,,,5,,0
,,,,,,,,,,,,,,,5.,"SUMKA, 2","57,0",Pavel Tumma,,,9,,0
,,,,,,,,,,,,,,,6.,"REJNA, 2","57,0",Dušan Andrés,,,2,,0
,,,,,,,,,,,,,,,7.,"GRETTY, 2","58,0",Jozef Franko,,,3,,0
,,,,,,,,,,,,,,,8.,"SALAMANCA, 2","57,0",Jan Demele,,,10,,0
,,,,,,,,,,,,,,,9.,"KYBERIT, 2","58,0",Petr Florian,,,7,,0
,,,,,,,,,,,,,,"585 Cena Blyskača
Rovina II.kat. - 1700 m, ,
40000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",10.,"NUBIÁN, 2","58,0",Jan Havlíček,,,4,,0
,,,,,,,,,,,,,,,1.,"NIVELAS, 6","62,5",Jozef Piruch,,,1,,0
,,,,,,,,,,,,,,,2.,"PRINCER, 5","60,0",Š. Sluka,,,5,,0
,,,,,,,,,,,,,,,3.,"DORKA, 5","61,0",Dušan Andrés,,,6,,0
,,,,,,,,,,,,,,,4.,"VENEZIANER(GER), 4","60,0",Jozef Bojko,,,2,,0
,,,,,,,,,,,,,,,5.,"POLETA, 3","56,5",Jan Havlíček,,,4,,0
,,,,,,,,,,,,,,,6.,"KARO, 5","62,5",Zdeněk Bodlák,,,7,,0
,,,,,,,,,,,,,,,7.,"ALPAKA, 3","57,5",Pavel Tumma,,,3,,0
