country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq,results.pages.page1.raceDateTitle,results.pages.page1.tables.tableTitle,results.pages.page1.tables.tableRows.poř.,results.pages.page1.tables.tableRows.jméno koně,results.pages.page1.tables.tableRows.váha,results.pages.page1.tables.tableRows.jezdec,results.pages.page1.tables.tableRows.výrok,results.pages.page1.tables.tableRows.čas,results.pages.page1.tables.tableRows.st.č.,results.pages.page1.tables.tableRows.trenér,results.pages.page1.tables.tableRows.evq
,,,,,,,,,,,,,,,7.,"YASMINIA(IRE), 6 kl","51,5",žk. Tomáš Roman,1/2,,5,Štangel Marián,22
,,,,,,,,,,,,,,"7002 Memoriál Jindřicha Němčanského
Proutky - - 3600 m, cena, 4letí a starší
3.000 EUR (1500 - 690 - 390 - 240 - 180)
Zápisné: 0 + 0 EUR",8.,"LADY FREE(IRE), 5 kl","61,0",am. Carolin Stummer,1 1/2,,4,Stummer Johann,101
,,,,,,,,,,,,,,,1.,"DIONIS(GER), 6 val","73,0",ž. Jan Faltejsek,ZADRŽENĚ,,2,Tůma Pavel,14
,,,,,,,,,,,,,,,2.,"MEGHAN(FR), 6 kl","68,0",ž. Martin Cagáň,13,,3,Cagáň Ján,27
,,,,,,,,,,,,,,,3.,"PADELA(FR), 4 kl","65,0",žk. Tereza Polesná,3,,5,Bodlák Radim,56
,,,,,,,,,,,,,,,4.,"LOTOS(GER), 7 hř","69,5",Dominika Baranová,7,,4,Brečka Jaroslav,83
,,,,,,,,,,,,,,"7003 Cena Entera
Rovina IV.kat. - 1700 m, cena, 3letí
2.300 EUR (1035 - 505 - 320 - 210 - 140 - 90)
Zápisné: 0 + 0 EUR",Z,"HAILEY(SVK), 7 val","70,0",ž. Pavel Složil ml.,,,1,Brečka Jaroslav,109
,,,,,,,,,,,,,,,1.,"DUKE OF MERIDIAN(IRE), 3 hř","60,5",ž. Jaroslav Línek,V. LEHCE,,12,Línek Jaroslav,27
,,,,,,,,,,,,,,,2.,"LORETTO(IRE), 3 hř","56,0",ž. Martina Havelková,6,,1,Chodúr Jozef,289
,,,,,,,,,,,,,,,3.,"CARRAGON(IRE), 3 kl","56,5",ž. Jiří Palík,1 3/4,,5,Štangel Marián,124
,,,,,,,,,,,,,,,4.,"STRACCIATELLA(GER), 3 kl","58,5",ž. Ján Havlík,1/2,,6,Línek Jaroslav,68
,,,,,,,,,,,,,,,5.,"GHAN(IRE), 3 hř","57,0",ž. Adam Florian,1/2,,9,Mihalík Marcel,124
,,,,,,,,,,,,,,,6.,"HURIKÁN(SVK), 3 hř","60,5",ž. David Liška,krk,,4,Línek Jaroslav,31
,,,,,,,,,,,,,,,7.,"KABIUK(GB), 3 hř","53,5",Petra Zedková,krk,,2,Štangel Marián,217
,,,,,,,,,,,,,,,8.,"LUMINAR(GER), 3 kl","52,0",žk. Tomáš Roman,kr.hlava,,3,Štangel Marián,75
,,,,,,,,,,,,,,,9.,"WALDFÜRST(GER), 3 hř","54,5",Lucie Fialová,6,,11,Štangel Marián,347
,,,,,,,,,,,,,,,10.,"WHAM(SVK), 3 hř","57,5",žk. Anna Lebdušková,7,,7,Kubovičová Zuzana,115
,,,,,,,,,,,,,,"7004 Cena 19/51 Furioso XIV
Steeplechase - - 3600 m, cena, 4letí a starší
2.500 EUR (1250 - 575 - 325 - 200 - 150)
Zápisné: 0 + 0 EUR",11.,"GREAT MY DADDY(SVK), 3 hř","58,5",ž. Martin Laube,8,,10,Kubovičová Zuzana,93
,,,,,,,,,,,,,,,1.,"ARION(GER), 6 val","70,5",ž. Jaroslav Myška,BOJ,,1,Myšková Štěpánka,71
,,,,,,,,,,,,,,,2.,"GEORGE OF BEAUMONT(IRE), 4 val","65,5",ž. Jan Faltejsek,1,,7,Tůma Pavel,28
,,,,,,,,,,,,,,,3.,"HAKIMPOUR(IRE), 6 val","70,5",ž. Pavel Složil ml.,1/2,,6,Brečka Jaroslav,25
,,,,,,,,,,,,,,,4.,"DERNIER(FR), 4 val","65,0",žk. Tereza Polesná,14,,2,Tůma Pavel,94
